                 	bindweed	buttercup	crocus	daffodil	daisy	dandelion	foxglove	grape_hyacinths	japanese_anemone	lilypad	orchids	poppy	rose	sunflower	thistle	viola	yellow_wildflower
bindweed         	37.0    	3.0      	0.0   	5.0     	1.0  	1.0      	7.0     	2.0            	0.0             	9.0    	10.0   	0.0  	4.0 	1.0      	2.0    	3.0  	0.0              
buttercup        	0.0     	11.0     	0.0   	1.0     	5.0  	20.0     	1.0     	0.0            	0.0             	4.0    	0.0    	1.0  	3.0 	2.0      	0.0    	1.0  	6.0              
crocus           	1.0     	0.0      	6.0   	2.0     	0.0  	1.0      	9.0     	2.0            	0.0             	3.0    	0.0    	0.0  	1.0 	0.0      	1.0    	4.0  	0.0              
daffodil         	1.0     	5.0      	0.0   	3.0     	0.0  	1.0      	2.0     	1.0            	0.0             	5.0    	0.0    	2.0  	0.0 	3.0      	0.0    	0.0  	0.0              
daisy            	4.0     	0.0      	0.0   	1.0     	5.0  	0.0      	1.0     	0.0            	0.0             	1.0    	0.0    	0.0  	1.0 	0.0      	0.0    	0.0  	0.0              
dandelion        	0.0     	9.0      	0.0   	7.0     	3.0  	16.0     	3.0     	1.0            	0.0             	3.0    	1.0    	5.0  	3.0 	16.0     	4.0    	2.0  	1.0              
foxglove         	4.0     	0.0      	2.0   	2.0     	2.0  	0.0      	30.0    	1.0            	2.0             	15.0   	1.0    	1.0  	9.0 	3.0      	0.0    	10.0 	0.0              
grape_hyacinths  	0.0     	1.0      	3.0   	0.0     	0.0  	0.0      	6.0     	8.0            	0.0             	0.0    	2.0    	0.0  	0.0 	0.0      	9.0    	8.0  	0.0              
japanese_anemone 	0.0     	0.0      	0.0   	0.0     	1.0  	0.0      	0.0     	1.0            	5.0             	0.0    	0.0    	0.0  	0.0 	0.0      	0.0    	0.0  	0.0              
lilypad          	4.0     	4.0      	2.0   	4.0     	3.0  	3.0      	8.0     	4.0            	0.0             	40.0   	2.0    	3.0  	8.0 	1.0      	3.0    	8.0  	0.0              
orchids          	1.0     	0.0      	1.0   	0.0     	0.0  	0.0      	1.0     	0.0            	0.0             	1.0    	2.0    	0.0  	0.0 	0.0      	0.0    	1.0  	0.0              
poppy            	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	0.0     	0.0            	0.0             	0.0    	0.0    	2.0  	1.0 	0.0      	0.0    	0.0  	0.0              
rose             	0.0     	0.0      	0.0   	0.0     	0.0  	0.0      	3.0     	1.0            	0.0             	3.0    	1.0    	4.0  	5.0 	0.0      	1.0    	0.0  	0.0              
sunflower        	0.0     	2.0      	0.0   	2.0     	0.0  	0.0      	2.0     	0.0            	0.0             	2.0    	0.0    	0.0  	0.0 	4.0      	0.0    	0.0  	2.0              
thistle          	0.0     	1.0      	2.0   	3.0     	0.0  	0.0      	3.0     	0.0            	1.0             	3.0    	1.0    	2.0  	0.0 	0.0      	4.0    	1.0  	0.0              
viola            	8.0     	0.0      	4.0   	0.0     	2.0  	0.0      	6.0     	0.0            	0.0             	6.0    	0.0    	0.0  	1.0 	1.0      	0.0    	4.0  	0.0              
yellow_wildflower	0.0     	0.0      	0.0   	0.0     	2.0  	4.0      	0.0     	0.0            	0.0             	2.0    	0.0    	0.0  	2.0 	0.0      	0.0    	1.0  	18.0             

Accuracy = 31.89792663476874%

Balanced Accuracy = 29.703097709422867%
